"Order","Family","Genus","GenSp","Status"
"ARANEAE","Lycosidae","Lycosa","Lycosa hawaiiensis","end"
"ARANEAE","Lycosidae","Lycosa","Lycosa kalukanai","end"
"ARANEAE","Lycosidae","Trochosa","Trochosa virgata","adv"
"ARANEAE","Lycosidae","Trochosomma","Trochosomma versicula","adv"
"ARANEAE","Nesticidae","Nesticella","Nesticella mogera","adv"
"ARANEAE","Philodromidae","Pagiopalus","Pagiopalus personatus","end"
"ARANEAE","Philodromidae","Proernus","Proernus aculeatus","end"
"ARANEAE","Philodromidae","Proernus","Proernus stigmaticus","end"
"ARANEAE","Pholcidae","Artema","Artema mauritiana","adv"
"ARANEAE","Pholcidae","Smeringopus","Smeringopus elongatus","adv"
"ARANEAE","Salticidae","Bavia","Bavia aericeps","adv"
"ARANEAE","Salticidae","Hasarius","Hasarius adansoni","adv"
"ARANEAE","Salticidae","Havaika","Havaika cruciata","end"
"ARANEAE","Salticidae","Havaika","Havaika navata","end"
"ARANEAE","Salticidae","Havaika","Havaika senicula","end"
"ARANEAE","Salticidae","Phintella","Phintella versicolor","adv"
"ARANEAE","Salticidae","Plexippus","Plexippus paykulli","adv"
"ARANEAE","Scytodidae","Scytodes","Scytodes fusca","adv"
"ARANEAE","Segestriidae","Ariadna","Ariadna perkinsi","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha brevignatha","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha cuneiventris","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha hawaiensis","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha kamakou","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha mandibulata","adv"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha mohihi","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha pilosa","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha quasimodo","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha restricta","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha stelarobusta","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha trituberculata","end"
"ARANEAE","Tetragnathidae","Tetragnatha","Tetragnatha uncifera","end"
"ARANEAE","Theridiidae","Argyrodes","Argyrodes argyrodes","adv"
"ARANEAE","Theridiidae","Argyrodes","Argyrodes hawaiiensis","end"
"ARANEAE","Theridiidae","Latrodectus","Latrodectus geometricus","adv"
"ARANEAE","Theridiidae","Latrodectus","Latrodectus hesperus","adv"
"ARANEAE","Theridiidae","Latrodectus","Latrodectus mactans","adv"
"ARANEAE","Theridiidae","Steatoda","Steatoda grossa","adv"
"ARANEAE","Theridiidae","Theridion","Theridion acutitarse","end"
"ARANEAE","Theridiidae","Theridion","Theridion perkinsi","end"
"ARANEAE","Theridiidae","Theridion","Theridion praetextum","end"
"ARANEAE","Thomisidae","Mecaphesa","Mecaphesa anguliventris","end"
"ARANEAE","Thomisidae","Mecaphesa","Mecaphesa insulanus","end"
"ARANEAE","Thomisidae","Mecaphesa","Mecaphesa junctus","end"
"ARANEAE","Thomisidae","Mecaphesa","Mecaphesa nigrofrenatus","end"
"ARANEAE","Thomisidae","Mecaphesa","Mecaphesa oreades","end"
"ARANEAE","Thomisidae","Mecaphesa","Mecaphesa velatus","end"
"ARCHAEOGNATHA","Machilidae","Neomachilis","Neomachilis heteropus","end"
"ARCHAEOGNATHA","Machilidae","Neomachilis","Neomachilis perkinsi","end"
"BLATTARIA","Blaberidae","Pycnoscelus","Pycnoscelus indicus","adv"
"BLATTARIA","Blaberidae","Rhyparobia","Rhyparobia maderae","adv"
"BLATTARIA","Blattellidae","Balta","Balta notulata","adv"
"BLATTARIA","Blattellidae","Balta","Balta similis","adv"
"BLATTARIA","Blattellidae","Lobopterella","Lobopterella dimidiatipes","adv"
"BLATTARIA","Blattellidae","Supella","Supella longipalpa","adv"
"BLATTARIA","Blattellidae","Symploce","Symploce pallens","adv"
"BLATTARIA","Blattidae","Neostylopyga","Neostylopyga rhombifolia","adv"
"BLATTARIA","Blattidae","Periplaneta","Periplaneta americana","adv"
"BLATTARIA","Blattidae","Platyzosteria","Platyzosteria soror","adv"
"CHILOPODA","Mecistocephalidae","Mecistocephalus","Mecistocephalus maxillaris","adv"
"CHILOPODA","Mecistocephalidae","Mecistocephalus","Mecistocephalus spissus","adv"
"COLEOPTERA","Aderidae","Xylophilus","Xylophilus marquesanus","adv"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus abnormis","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus amaurodes","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus angustior","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus anthracias","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus arhopalus","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus binotatus","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus comes","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus convexiusculus","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus deceptor","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus epitrachys","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus gigas","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus hawaiiensis","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus humeralis","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus lecontei","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus maculatus","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus moribundus","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus navita","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus nigricans","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus nivicola","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus persimilis","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus scutatus","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus squalidus","end"
