"site","hill_phylo_0","hill_phylo_1","hill_phylo_2","hill_phylo_3"
"1",59.0964305,18.7192604245099,13.4188114607649,11.6589318195075
"2",64.2126465,40.3030803394762,26.8987500347033,20.3659429285219
"3",54.4943046,28.1045782504029,20.0087773517541,16.2959352949532
