"GenSp","family"
"Phytoseius woodburyi","Phytoseiidae"
"Hyposmocoma cuprea","Cosmopterigidae"
"Scaptomyza evexa","Drosophilidae"
"Disenochus sulcipennis","Carabidae"
"Volucella apicale","Syrphidae"
"Sarcophaga gressitti","Sarcophagidae"
"Anaphothrips swezeyi","Thripidae"
"Nesomartis psammophila","Lygaeidae"
"Monomorium monomorium","Formicidae"
"Acizzia uncatoides","Psyllidae"
"Ilburnia rubescens","Delphacidae"
"Xylocopa sonorina","Apidae"
"Oliarus swezeyi","Cixiidae"
"Eudonia oxythyma","Crambidae"
"Plagithmysus obscurus","Cerambycidae"
"Apanteles trifasciatus","Braconidae"
"Anotylus nitidifrons","Staphylinidae"
"Nysius communis","Lygaeidae"
"Hyposmocoma new species 19","Cosmopterigidae"
"Hypothenemus pubescens","Scolytidae"
"Hyposmocoma chilonella","Cosmopterigidae"
"Drosophila curtitarsus","Drosophilidae"
"Hyposmocoma brevistrigata","Cosmopterigidae"
"Cerapachys biroi","Formicidae"
"Drosophila milolii","Drosophilidae"
"Phoracantha semipunctata","Cerambycidae"
"Plusia chalcites","Noctuidae"
"Oliarus immaculatus","Cixiidae"
"Xyletobius lineatus apicalis","Anobiidae"
"Frankliniella schultzei","Thripidae"
"Oodemas leiothorax","Curculionidae"
"Leptocera abdominiseta","Sphaeroceridae"
"Cephalops chauliosternum","Pipunculidae"
"Nabis silvestris","Nabidae"
"Eumecochemes oceanicus","Chemetidae"
"Udea argoscelis","Crambidae"
"Exillis lepidus","Anthribidae"
"Coleotichus blackburniae","Scutelleridae"
"Phlyctaenia argoscelis","Crambidae"
"Proterhinus anthracias","Belidae"
"Hawaiodillo sharpi","Armadillidae"
"Pseudocaecilius criniger","Pseudocaeciliidae"
"Ischnaspis longirostris","Diaspididae"
"Eriococcus coccineus","Eriococcidae"
"Nesothoe seminigrofrons","Delphacidae"
"Scaptomyza anechocerca","Drosophilidae"
"Lynchia nigra","Hippoboscidae"
"Pipunculus juvator","Pipunculidae"
"Mesothriscus truncatus","Carabidae"
"Neoscona theisi","Araneidae"
"Lobopterella dimidiatipes","Blattellidae"
