;species;Head_length;Head_width;Head_height;Nostril_height;Nostril_distance;Orbital_distance;Eye_height;Eye_size;Ear_Opening_Size;Rostral_Length;Jaw_Length;Quadrate.tip_Opening;Trunk_Length;Trunk_Width;Trunk_Height;Tail_Length;Tail_Heigth;Pectoral_Girdle_Width;Pelvic_Girdle_Width;Total_Forelimb_Length;Total_Hindlimb_Length;SVL;Microhabitat;Habitat_Type;Annual_Mean_Temp;Temp_Season;Annual_Precipitation;Prec_Season;Alt;HeadLc;HeadWc;HeadHc;NostrilDc;NostrilHc;OrbitalDc;EyeHc;EyeSc;EarOpeningc;RostralLc;JawLc;QuadrateTipLc;TrunkLc;TrunkWc;TrunkHc;TailLc;TailHc;PectoralGc;PelvicGc;Forelimbc;Hindlimbc;PC1;PC2
Bachia_micromela;Bachia_micromela;7.59;4.4;3.59;1.53;1.7;1.49;1.92;1.25;1;4.65;7.96;9.03;69.46;3.88;3.11;103.19;3.07;4.39;3.52;3.26;4.41;77.05;Fossorial;Savanna;25.7;3.85;1953;76;362;-0.332817545;-0.338253102;-0.354409893;-0.233206644;-0.308539033;-0.147080361;-0.315378487;-0.487376926;-0.493439423;-0.39966061;-0.347749016;-0.320134465;0.062418533;-0.407072705;-0.475877141;-0.170770376;-0.32359774;-0.395738331;-0.163194679;-0.830966776;-0.90775517;118.1059423;9.078645639
Bachia_oxyrhina;Bachia_oxyrhina;6.87;3.74;2.84;1.21;1.83;1.41;1.38;1.11;1;4.16;6.63;7.56;58.19;3.55;2.44;93.07;2.6;1;3.02;1;2.98;65.07;Fossorial;Savanna;25.1;6.91;1419;80;491;-0.306829108;-0.335313227;-0.377126327;-0.136603668;-0.342734918;-0.123309735;-0.378017152;-0.462135332;-0.44976154;-0.37482137;-0.354368907;-0.329803065;0.059797609;-0.377635298;-0.492576185;-0.138019185;-0.313851821;-0.958743102;-0.182492098;-1.277370264;-1.01719337;123.4437363;13.51346947
Bachia_panoplia;Bachia_panoplia;8.68;5.19;4.09;1.61;1.88;1.74;1.76;2.11;1;5.34;8.82;9.69;67.53;5.22;4.06;155.34;3.51;4.38;3.85;4.95;6.19;76.21;Fossorial;Forest;27.2;4.66;2197;40;79;-0.270046058;-0.261769364;-0.292652698;-0.185307279;-0.282012457;-0.076620792;-0.347926896;-0.255020869;-0.490606186;-0.334824142;-0.298472528;-0.285120112;0.054997856;-0.273820352;-0.354359673;0.011907607;-0.260115711;-0.391574454;-0.121212423;-0.64524517;-0.756560249;96.2383344;9.755917332
Bachia_scolecoides;Bachia_scolecoides;7.74;4.37;3.54;1.9;1.8;1.63;1.84;1.34;1;4.58;7.94;8.82;62.74;3.93;3.29;117.67;2.78;4.04;3.54;3.87;5.34;70.47;Fossorial;Savanna;22.9;9.69;1927;71;551;-0.287725464;-0.302387768;-0.318738739;-0.174258446;-0.178709762;-0.082862105;-0.291188974;-0.416598324;-0.470367097;-0.36758165;-0.310396591;-0.294698949;0.057458141;-0.365570142;-0.404601949;-0.072761996;-0.323422829;-0.389847812;-0.135781005;-0.721179644;-0.792544006;103.484349;11.71759496
Callopistes_maculatus;Callopistes_maculatus;25.41;17.58;13.89;4.73;4.03;2.69;7.02;6.95;5.18;20.02;27.84;30.01;76.5;18.34;26.59;232.14;11.89;19.49;8.28;47;79.39;101.92;Ground-dwelling;Savanna;14.7;27.33;30;118;661;0.077275765;0.141612597;0.102329062;0.03471465;0.069548856;0.030464477;0.113935114;0.130522112;0.148589584;0.113183173;0.075533741;0.089714245;-0.01858777;0.154865825;0.309301315;0.052923988;0.128857139;0.120077895;0.130098619;0.21731493;0.246955032;-40.19878089;0.48146386
Calyptommatus_confusionibus;Calyptommatus_confusionibus;6.49;3.73;3;1.18;1.63;1.45;1.4;0.74;1;3.88;6.35;7.47;57.47;4.21;2.72;43.81;2.58;1;3.16;1;4.77;63.97;Fossorial;Shrubland;24.9;7.02;826;85;630;-0.324552191;-0.329058515;-0.345347131;-0.180349619;-0.346807044;-0.106344611;-0.363618009;-0.630475399;-0.445354906;-0.397697989;-0.365766018;-0.328194493;0.061883048;-0.296716964;-0.436451094;-0.45742874;-0.30894152;-0.950726459;-0.158046116;-1.27062943;-0.806758783;125.2426201;16.86090848
Calyptommatus_leiolepis;Calyptommatus_leiolepis;5.95;3.48;2.58;0.86;1.54;1.7;1.06;0.77;1;3.35;5.58;6.52;47.69;3.39;2.51;38.16;1.96;3.68;3.06;1;4.53;53.63;Fossorial;Savanna;25.8;10.1;649;89;420;-0.290007989;-0.282484848;-0.328366959;-0.137619491;-0.413549634;0.012540389;-0.400160043;-0.533062288;-0.399786454;-0.385117681;-0.345975677;-0.316848566;0.058349204;-0.319813482;-0.37883667;-0.436456578;-0.342848747;-0.301979528;-0.122728791;-1.200923313;-0.765763834;113.8772531;12.0300733
Calyptommatus_nicterus;Calyptommatus_nicterus;5.86;3.49;2.69;0.99;1.56;1.59;1.11;0.76;1;3.61;5.8;6.89;51.5;3.59;2.55;38.38;2.25;1.69;3.01;1;4.64;57.36;Fossorial;Savanna;25.6;10.21;672;88;468;-0.32419006;-0.310491382;-0.341690866;-0.157719161;-0.379353602;-0.035505448;-0.412285282;-0.569308207;-0.41716513;-0.381779851;-0.358139649;-0.319732973;0.06218015;-0.321990984;-0.407251079;-0.464827355;-0.315513253;-0.671556305;-0.148679027;-1.227507495;-0.779529011;120.7389025;14.39594341
Calyptommatus_sinebrachiatus;Calyptommatus_sinebrachiatus;5.89;3.49;2.75;0.85;1.52;1.77;1.1;0.76;1;3.59;5.66;6.56;49.54;3.94;2.71;35.36;2.58;3.49;3.14;1;4.33;55.43;Fossorial;Savanna;21.6;10.63;813;87;1035;-0.307942221;-0.295600969;-0.316098264;-0.15591638;-0.43185633;0.020739167;-0.39985426;-0.55374788;-0.40831892;-0.369367424;-0.354010935;-0.327377918;0.060370133;-0.267808712;-0.362863065;-0.484707748;-0.239486401;-0.340524367;-0.120748563;-1.213975437;-0.797248307;113.9468828;16.67346669
Caparaonia_itaiquara;Caparaonia_itaiquara;6.06;3.58;2.67;1.3;1.53;0.95;1.3;1.59;1.71;4.04;6.3;7.26;20.05;2.66;1.67;40.75;1.61;4.13;2.46;8.46;11.02;26.11;Ground-dwelling;Forest;16;18.2;1485;62;1448;0.01300709;0.042969797;0.023266782;0.134708147;0.054296056;-0.036853392;0.032561893;0.109083509;0.019248696;0.007997856;0.016724079;0.017334772;-0.001641593;-0.1353226;-0.178111606;-0.077501462;-0.079392218;0.086568945;-0.016311031;0.0110312;-0.120780068;-3.76438784;-8.933272083
Cercosaura_eigenmanni;Cercosaura_eigenmanni;10.95;5.65;4.47;1.85;1.84;1.22;2.02;2.26;2.19;7.12;10.96;12.29;31.95;6.52;4.15;49.85;3.36;6.46;3.65;16.47;21.81;42.9;Ground-dwelling;Forest;23.2;12.16;1503;68;388;0.066399321;0.025105419;0.014758568;0.02501518;0.008568682;-0.068487165;-0.013399688;0.036045928;-0.001643921;0.039013091;0.043342483;0.047619625;-0.017502645;0.054116182;-0.043327353;-0.217917921;-0.000561306;0.04737138;0.016244372;0.104031628;-0.002910633;-10.3602436;-9.520915191
Cercosaura_ocellata;Cercosaura_ocellata;10.76;5.43;4.4;2.12;1.84;1.37;2.02;2.59;2.36;7.27;11.09;12.19;35.14;6.96;4.31;125.74;3.07;7.06;4.71;17.38;24.25;45.91;Ground-dwelling;Forest;23.5;15.68;1563;68;580;0.031000051;-0.021645009;-0.023820617;-0.000907237;0.040562699;-0.037282206;-0.045815738;0.064408168;0.013297308;0.018694943;0.019259128;0.01698673;-0.005972326;0.055175048;-0.062479471;0.152760149;-0.072630678;0.054058686;0.108017064;0.100577249;0.01875455;-7.054601459;-3.927638248
Cercosaura_olivacea;Cercosaura_olivacea;9.89;5.42;4.56;1.88;1.69;1.38;2.32;2.54;2.41;7.23;10.95;12.09;34.41;5.95;4.14;128.2;3.3;7.2;3.87;16.49;23.26;44.3;Ground-dwelling;Forest;22.3;25.52;1195;42;332;0.00901766;-0.006914711;0.008392411;-0.024191839;0.002688038;-0.024039379;0.031385882;0.072171687;0.031629027;0.031761631;0.029115946;0.02766772;0.000598711;0.001455964;-0.061225096;0.177562816;-0.023951939;0.079371857;0.032685918;0.091862196;0.013492784;-7.435578508;-4.47864546
Cercosaura_oshaughnessyi;Cercosaura_oshaughnessyi;10.95;5.82;5;1.87;1.89;1.25;2.22;2.35;2.29;6.98;11.66;12.12;34.83;6.91;5.11;100.61;3.92;6.61;3.83;14.88;21.26;45.77;Ground-dwelling;Forest;25.7;3.85;3133;17;67;0.03985385;0.00980686;0.033125524;0.011904248;-0.012707858;-0.076230015;-0.003354167;0.023564758;0.001010159;0.002338847;0.042341449;0.015705496;-0.008478439;0.053273529;0.013066683;0.057329897;0.034997356;0.026891488;0.019048649;0.034337912;-0.037295406;-8.649242366;-3.527135317
Cercosaura_quadrilineata;Cercosaura_quadrilineata;8.64;4.92;3.65;1.87;1.67;1.27;1.72;1.71;2.18;5.56;9.06;10.1;28.96;5.32;3.36;88.32;3.37;5.62;3.26;13.07;17.79;37.6;Ground-dwelling;Forest;19.1;27.54;1289;42;732;0.017554735;0.022392272;-0.01156389;0.033323421;0.066074469;-0.013792314;-0.020185285;-0.025115141;0.030451379;-0.011273247;0.017451868;0.015058955;-0.002223764;0.018874105;-0.065843616;0.09101284;0.064646434;0.048879565;0.004030312;0.055750304;-0.043959009;-6.605572326;1.123185778
Cercosaura_schreibersii;Cercosaura_schreibersii;11;5.46;4.46;1.94;1.78;1.39;1.9;2.77;2.53;7.24;11.04;12.36;33.21;5.87;3.93;150.53;3.56;6.12;4.37;17.46;23.42;44.2;Ground-dwelling;Shrubland;24.2;9.23;1294;82;712;0.056140436;-0.002738171;-0.000180321;-0.000794645;0.017237396;-0.020265275;-0.054268198;0.110845156;0.053316603;0.033340776;0.033644171;0.03816252;-0.013823945;-0.003513003;-0.082647097;0.248335305;0.010079501;0.009853384;0.0860881;0.117579273;0.01728282;-12.31907145;-5.970681815
Cnemidophorus_lemniscatus;Cnemidophorus_lemniscatus;15.92;9.09;8.82;3.65;2.27;2.09;4.72;4.06;3.59;12.47;17.2;19.22;50.58;10.07;14.26;154;6.55;12.06;5.24;27.8;53.87;66.51;Ground-dwelling;Savanna;26.8;3.3;2324;49;31;0.049184512;0.040856189;0.104783646;-0.051396376;0.128002357;0.041434161;0.14558221;0.091116428;0.099675493;0.092470607;0.050219164;0.066685869;-0.010691226;0.066352778;0.262668259;0.070643324;0.076806544;0.112312113;0.050713664;0.158020377;0.232064225;-28.41776743;0.379436343
Colobodactylus_dalcyanus;Colobodactylus_dalcyanus;8.17;5.37;4.39;2.38;2.36;1.55;2.21;1.86;1.98;5.67;9.39;10.15;39.44;5.59;3.61;109.08;3.56;5.78;3.14;11.19;16.86;47.61;Ground-dwelling;Forest;17;22.69;1802;69;1121;-0.103494952;-0.042289221;-0.041819146;0.09328752;0.076235365;0.006057728;-0.024156098;-0.095908997;-0.07234718;-0.105005778;-0.068665997;-0.077073573;0.028183958;-0.054661946;-0.158527983;0.07434001;-0.025942905;-0.049914629;-0.078237925;-0.105018071;-0.152177853;18.31304059;10.52725752
Colobodactylus_taunayi;Colobodactylus_taunayi;8.26;5.15;4.12;2.07;2.33;1.3;2.06;1.85;1.81;5.88;9.2;10.24;40.99;4.96;3.88;80.55;3.39;5.65;3.54;11.23;18.72;49.25;Ground-dwelling;Forest;20.8;24.92;2114;44;229;-0.112619677;-0.075190206;-0.085230364;0.074785146;0.00205933;-0.079897483;-0.070870523;-0.113647014;-0.120087039;-0.103880891;-0.09212913;-0.086766432;0.030041831;-0.120227755;-0.14497363;-0.072886772;-0.063608525;-0.07571811;-0.035631078;-0.11685825;-0.11891099;26.55718742;5.628158568
Colobosaura_modesta;Colobosaura_modesta;9.14;6.01;4.18;2.16;2.47;1.42;2.19;1.84;2.05;5.69;9.88;10.75;38.94;6.91;4.15;75.91;3.4;6.21;3.52;11.14;18.87;48.08;Ground-dwelling;Forest;21.9;11.97;1487;77;904;-0.058797689;0.002337182;-0.067703134;0.109317216;0.030176157;-0.034760629;-0.032800212;-0.105070177;-0.05979751;-0.10773163;-0.050805336;-0.056054782;0.018325936;0.033449074;-0.103141576;-0.087615811;-0.05067548;-0.023369874;-0.031370878;-0.110846881;-0.106796913;13.63922386;7.173459821
Colobosauroides_cearensis;Colobosauroides_cearensis;6.41;4.13;2.75;1.55;1.84;1.23;1.39;1.26;1.77;4.11;6.9;8.07;27.94;3.69;2.38;35;2.18;4.71;2.46;8.43;12.27;34.35;Ground-dwelling;Savanna;22.5;5.59;1410;83;598;-0.075043;-0.014292607;-0.092230936;0.109983098;0.020786248;-0.002153506;-0.069483656;-0.116641084;-0.036666281;-0.103348346;-0.061893627;-0.046281045;0.021932551;-0.103612616;-0.168170937;-0.269477093;-0.080708555;0.014671302;-0.092981961;-0.098955371;-0.17277381;20.67005591;1.286506528
Contomastix_lacertoides;Contomastix_lacertoides;13.48;7.88;7.09;3.08;1.99;1.73;3.59;3.48;3.04;10.41;14.6;15.73;42.84;7.12;10.32;91.14;5.05;9.44;4.4;21.55;38.09;56.32;Ground-dwelling;Savanna;19.4;44.34;1327;15;127;0.045102798;0.051169885;0.08776327;-0.044996034;0.120893235;0.006312336;0.106233014;0.099776059;0.070437673;0.086089279;0.050665425;0.0460848;-0.009736524;-0.017238328;0.209489341;-0.08082343;0.04446451;0.084132484;0.021321878;0.113174073;0.141345379;-21.5555929;-4.69369269
Crocodilurus_amazonicus;Crocodilurus_amazonicus;31.86;18.28;17.09;5.62;4.64;3.57;8.41;8.1;7.13;23.69;32.9;35.83;99.89;24.55;29.13;299.17;15.9;21.42;10.38;50.05;80.43;131.75;Semi-aquatic;Forest;27.2;6.12;2384;57;23;0.070281958;0.04688257;0.072267528;-0.002208972;0.041563962;0.080860862;0.06967398;0.080310208;0.220997287;0.075086105;0.037499189;0.064158289;-0.0155456;0.178155694;0.214220541;0.045239889;0.130639627;0.04037641;0.156504856;0.143122316;0.16026875;-31.04566546;3.78019494
Dicrodon_guttulatum;Dicrodon_guttulatum;21.69;12.6;12.36;3.96;3.11;2.11;7.11;6.15;4.48;18.75;24.45;26.28;70.59;13.3;18.44;236.5;8.75;14.91;6.27;37.14;78.38;92.27;Ground-dwelling;Forest;16.7;3.01;1016;49;2155;0.049305454;0.040239162;0.098180307;-0.039805567;0.032237534;-0.04690659;0.167017263;0.122634235;0.111246913;0.12780568;0.06198193;0.071802976;-0.009792886;0.055367364;0.202536505;0.106668691;0.043896633;0.050514205;0.037140583;0.154386177;0.277172406;-26.87209135;-5.603089175
Dracaena_paraguayensis;Dracaena_paraguayensis;74.9;49.87;48.29;16.75;8.86;7.79;27.71;15.31;11.9;54.76;78.22;84.89;176.07;48.78;55.71;570;37.26;46.59;20.03;104.78;144.29;250.98;Ground-dwelling;Savanna;25.5;21.49;1092;57;162;0.17733537;0.202364867;0.221879205;0.032343911;0.257621655;0.237676399;0.279437119;0.063805274;0.276883919;0.159831925;0.136067265;0.181358829;-0.052602551;0.216864394;0.157653841;0.029339624;0.188108226;0.074820456;0.261839574;0.209193069;0.182279428;-65.07259543;5.604430572
Dryadosaura_nordestina;Dryadosaura_nordestina;8.68;6.01;4.19;2.09;2.14;1.97;2.17;1.61;1.86;5.27;9.1;9.77;39.62;6.14;4.27;75.24;3.39;6.33;3.91;10.45;17.33;48.3;Ground-dwelling;Forest;21.5;14.54;599;59;599;-0.083095575;0.000351022;-0.068801181;0.045288853;0.01403951;0.106127622;-0.038966949;-0.16513764;-0.10321838;-0.14301074;-0.088487022;-0.099392115;0.023838186;-0.019698716;-0.093157248;-0.093561805;-0.054167513;-0.017204359;0.012987079;-0.140420756;-0.145412326;19.88802909;13.55621415
Echinosaura_horrida;Echinosaura_horrida;15.45;7.98;6.39;2.65;2.17;1.37;2.99;3.29;2.75;9.24;15.96;16.98;46.78;9.2;5.33;90.94;4.46;8.2;4.6;22.95;36.63;62.23;Ground-dwelling;Forest;25.6;5.95;1706;112;57;0.063436086;0.013233163;-0.004066064;-0.045535516;0.015606202;-0.123201889;-0.020892092;0.030026167;0.001105425;-0.008912684;0.046369793;0.039437241;-0.015378812;0.053892097;-0.129822803;-0.127587191;-0.057859615;-0.023945856;0.012733282;0.101056415;0.088478899;-4.816001665;-12.30192886
Ecpleopus_gaudichaudii;Ecpleopus_gaudichaudii;7.41;3.99;2.64;1.11;1.58;1.04;1.23;2.08;2.11;4.8;7.65;8.22;30.15;4.93;2.66;70.2;2.58;4.58;3.85;8.82;14.09;37.56;Ground-dwelling;Forest;22.9;21.44;1322;51;75;-0.048704478;-0.068136861;-0.151754867;0.009670927;-0.160017684;-0.100262017;-0.165299803;0.060435992;0.016552448;-0.074645755;-0.055556489;-0.073965467;0.015732759;-0.01376205;-0.166742755;-0.008220473;-0.050847841;-0.039490792;0.076570973;-0.114635867;-0.144841112;19.746728;-3.457522796
Glaucomastix_abaetensis;Glaucomastix_abaetensis;13.42;6.74;6.27;2.59;1.48;1.62;2.96;3.49;3.18;10.79;14;15.2;32.42;5.1;7.69;122.35;4.12;8.39;4.13;21.99;41.29;45.85;Ground-dwelling;Shrubland;24.5;13.26;1797;49;42;0.127476378;0.07278401;0.130606062;-0.094963423;0.128050586;0.035881667;0.120749757;0.194528379;0.143150432;0.190748436;0.121018833;0.11334895;-0.040386359;-0.079337472;0.189655796;0.141491023;0.055762041;0.129630856;0.051311768;0.203269756;0.250358076;-39.61112639;-15.04987163
Gymnophthalmus_leucomystax;Gymnophthalmus_leucomystax;6.03;3.71;2.51;1.48;1.39;0.99;1.18;0.97;1.57;4.18;6.71;7.39;29.79;3.52;2.21;60.18;2.38;4.55;2.7;9.64;13.85;35.82;Ground-dwelling;Savanna;26.9;5.06;1622;76;111;-0.118761335;-0.079099605;-0.151494192;-0.027838869;-0.016073703;-0.108260873;-0.160648181;-0.24929095;-0.09957062;-0.114164874;-0.092067234;-0.101247338;0.031361172;-0.140968267;-0.222343336;-0.0533301;-0.0628994;-0.020041698;-0.0642669;-0.057273686;-0.135241128;34.18804268;2.176727296
Gymnophthalmus_underwoodi;Gymnophthalmus_underwoodi;6.39;3.92;2.82;1.52;1.5;0.99;1.2;1.27;1.73;4.5;7.39;8.07;29.69;4.2;2.3;60.07;2.49;4.43;2.86;9.49;14.56;36.09;Ground-dwelling;Shrubland;26.8;4.82;1707;72;127;-0.096656082;-0.058454485;-0.104431967;0.002366935;-0.007500656;-0.110382189;-0.156938704;-0.135672984;-0.059365076;-0.085381368;-0.053379413;-0.06601761;0.026600743;-0.067285156;-0.208948055;-0.05757202;-0.046916873;-0.035180308;-0.041363751;-0.067053515;-0.11623058;24.77839737;0.247311147
Heterodactylus_imbricatus;Heterodactylus_imbricatus;12.79;9.21;7.42;3.55;4.28;2.71;3.67;2.93;1;9.13;15.5;16.09;83.6;9.41;6.5;228.05;6.14;8.62;5.57;15.97;26.7;96.38;Ground-dwelling;Forest;17.4;22.57;1422;63;923;-0.197947906;-0.11483145;-0.143822291;0.082218456;-0.032690505;0.049469551;-0.141018842;-0.219185947;-0.551294821;-0.203601451;-0.154733764;-0.158672664;0.044518507;-0.112441116;-0.273177805;0.070861405;-0.131066372;-0.207947376;-0.026453649;-0.229380934;-0.206196697;49.91962587;21.67012626
Heterodactylus_lundii;Heterodactylus_lundii;7.15;4.07;3.23;1.69;1.99;1.26;1.88;1.62;1;4.59;7.84;8.19;43.81;4.25;2.95;108.61;2.66;4.86;3.22;8.76;13.22;50.96;Ground-dwelling;Savanna;17.8;21.12;1579;76;1122;-0.189285068;-0.192252288;-0.206892994;-0.006765331;-0.099699952;-0.103112043;-0.126895992;-0.186821053;-0.386587376;-0.22622974;-0.176300434;-0.197415144;0.043937526;-0.201062916;-0.28189261;0.041248599;-0.185470403;-0.157179029;-0.08631934;-0.23822856;-0.282262144;59.62099604;9.637473889
Holcosus_festivus;Holcosus_festivus;16.86;9.45;8.45;2.3;2.09;2.01;3.61;4.71;3.76;13.67;18.18;19.6;45.36;8.03;11.69;125.93;4.99;11.06;3.71;30.66;58.03;62.22;Ground-dwelling;Terrestrial;18.8;3.35;1803;36;1954;0.10143105;0.086731998;0.117364971;-0.061787529;-0.045847445;0.043318999;0.061020745;0.185924238;0.137002113;0.16125347;0.102999997;0.101819815;-0.028695359;-0.00511548;0.211348824;0.013860839;-0.009016032;0.106070984;-0.080605717;0.226909414;0.288352355;-30.78172134;-18.53672846
Holcosus_orcesi;Holcosus_orcesi;17.5;9.87;8.53;2.84;2.46;2.52;4.31;4.43;3.55;13.89;18.65;20.03;46.88;10.01;13.29;151.69;5.89;11.54;4.52;31.59;56.84;64.39;Ground-dwelling;Shrubland;13.9;7.01;589;20;2714;0.103558569;0.090702731;0.105419086;-0.004103761;0.032007234;0.131839298;0.121602912;0.143721444;0.103182036;0.15333793;0.099320726;0.097552041;-0.029446453;0.076800161;0.249071208;0.078950734;0.046382095;0.108402298;-0.004424051;0.226332842;0.267023062;-36.94261406;-6.403291454
Holcosus_septemlineatus;Holcosus_septemlineatus;24.54;13.73;12.78;4.13;3.13;3.2;6.66;5.38;4.57;19.34;25.46;27.38;65.7;15.74;19.7;219.43;9.77;16.51;5.16;41.81;83.36;90.24;Ground-dwelling;Forest;13.9;7.01;589;20;2714;0.112039746;0.087217585;0.123100248;-0.028517451;0.05940589;0.140245221;0.149256375;0.074655254;0.125634935;0.150896909;0.089142311;0.098496532;-0.031194254;0.137477462;0.242914693;0.0843462;0.102566048;0.10524386;-0.04125872;0.214619975;0.311926584;-38.38790341;-2.891884076
Iphisa_elegans;Iphisa_elegans;8.58;5.06;4.1;1.82;2.27;1.57;1.93;1.95;2.1;5.53;9.42;10.71;39.34;5.55;4.16;98.38;3.03;5.85;3.53;10.35;16.59;47.92;Ground-dwelling;Forest;23.4;13.49;1549;70;520;-0.084890182;-0.070936577;-0.074536112;0.073920367;-0.042870627;0.009792304;-0.086093568;-0.078337948;-0.048470533;-0.118674922;-0.070075803;-0.056342394;0.024229227;-0.06039389;-0.100347302;0.026522259;-0.09909608;-0.047738269;-0.029207064;-0.141473817;-0.161523464;21.03312249;5.227197061
Kentropyx_altamazonica;Kentropyx_altamazonica;16.77;8.61;7.95;2.92;2.54;2.4;3.6;4.58;3.16;13.1;18.61;19.29;44;8.37;11.94;147.44;5.57;10.8;5.17;28.99;53.59;60.77;Ground-dwelling;Terrestrial;24.4;13.58;1387;70;205;0.108772655;0.056562127;0.101907026;0.03191401;0.067255547;0.126995301;0.071088211;0.184489134;0.067595968;0.152970095;0.123307839;0.104314252;-0.031553051;0.022388541;0.232911469;0.093171999;0.050168107;0.106827072;0.070102339;0.211908423;0.262265088;-37.88293933;-6.448020374
Kentropyx_calcarata;Kentropyx_calcarata;22.13;12.17;11;3.49;3.13;3.01;5.04;5.8;3.86;17.62;24.74;25.39;57.33;12.72;18.03;201.33;8.56;14.78;6.14;40.33;71.12;79.46;Ground-dwelling;Forest;24.2;10.88;1576;11;56;0.119296761;0.09018535;0.117479443;0.02011505;0.037254548;0.149599489;0.089027751;0.165138769;0.085187435;0.165551594;0.131473267;0.116538857;-0.03446945;0.096182011;0.271197504;0.105361446;0.106809095;0.116989767;0.069821684;0.249266742;0.28871987;-43.38841828;-4.282804854
Kentropyx_pelviceps;Kentropyx_pelviceps;27.33;16.06;14.41;4.01;3.71;3.72;6.88;6.32;4.66;20.5;28.67;30.33;66.95;16.43;21.34;220.33;9.24;17.23;6;45.78;89.45;94.29;Ground-dwelling;Forest;26.2;5.7;1915;58;113;0.140808184;0.136192497;0.154694372;0.028529403;0.029009707;0.193236329;0.142383752;0.12463066;0.122757524;0.157177884;0.121804096;0.125400284;-0.042302561;0.138433905;0.254606807;0.065969471;0.057063718;0.103139125;0.011970736;0.236657881;0.326758046;-46.06958081;-5.392960087
Kentropyx_vanzoi;Kentropyx_vanzoi;15.86;8.87;8.09;2.83;2.19;1.98;3.62;4.39;3.27;12.58;17.17;19.03;43.58;7.64;12.33;137.67;5.52;9.66;4.87;25.92;42.06;59.43;Ground-dwelling;Savanna;25.7;13.42;1504;68;165;0.093682894;0.079183137;0.119919754;-0.023951996;0.062592985;0.049747894;0.084153059;0.176225142;0.088219609;0.145037485;0.097934494;0.107326586;-0.025919722;-0.008266084;0.258569765;0.073631972;0.057059528;0.068864565;0.050373499;0.172110829;0.165070612;-34.45815664;-8.99364039
Kentropyx_viridistriga;Kentropyx_viridistriga;16.31;9.79;9.1;3.25;2.44;2.29;4.39;4.65;3.49;12.85;18.07;19.6;50.26;10.26;13.62;152.57;6.14;10.48;5.23;27.64;45.73;66.56;Ground-dwelling;Forest;19;43.04;913;82;637;0.059387358;0.072748058;0.118004883;-0.02031968;0.077291754;0.080911072;0.113745496;0.149701699;0.087212241;0.105181773;0.071325227;0.074888404;-0.013777818;0.074168099;0.242331528;0.066246763;0.048369367;0.050972739;0.049674003;0.155216504;0.16064815;-30.14021696;-2.083840467
Leposoma_annectans;Leposoma_annectans;7.3;4.13;3.04;1.62;1.44;0.97;1.35;1.71;2.13;4.91;7.6;8.42;26.12;4.56;3.46;42.93;2.39;4.72;2.85;9.27;13.9;33.42;Ground-dwelling;Forest;24.1;10;1627;19;115;-0.007326777;-0.00235134;-0.035849181;0.014020225;0.050967046;-0.097533316;-0.069043842;0.028462981;0.050834215;-0.014219723;-0.008108261;-0.016879574;0.004741518;-0.000622961;0.008730225;-0.16818386;-0.027463179;0.028498239;-0.021399767;-0.046851269;-0.10873102;3.159976849;-5.412912689
Leposoma_nanodactylus;Leposoma_nanodactylus;6.55;3.86;2.52;1.42;1.43;0.94;1.3;1.68;1.98;4.2;7.25;7.89;24.62;3.16;1.83;47.25;1.99;4.38;2.91;8.69;11.2;31.16;Ground-dwelling;Forest;23.7;11.3;576;87;664;-0.025705732;-0.001251594;-0.084564829;0.037760313;0.021795247;-0.09139764;-0.051962628;0.052609141;0.03721719;-0.051722884;0.001571497;-0.017147971;0.009827381;-0.131708869;-0.231154841;-0.094399003;-0.07306922;0.028953512;0.007220966;-0.047227629;-0.177342649;10.18882065;-8.428917499
Leposoma_scincoides;Leposoma_scincoides;8.93;5.29;4.34;1.76;1.72;1.01;2.05;1.96;2.29;5.29;9.22;10.44;30.46;5.47;3.77;68.79;3;5.64;3.55;11.92;17.69;39.39;Ground-dwelling;Forest;24.1;10;1627;19;115;0.012827727;0.033649172;0.041874996;0.028356636;0.021111041;-0.126412556;0.033807743;0.013000846;0.039809797;-0.053037394;0.005024936;0.010862161;-0.000730998;0.012224325;-0.040244793;-0.038871419;-0.008404888;0.02855427;0.028040632;-0.002636911;-0.063135497;-3.74698779;-4.011354032
Loxopholis_guianense;Loxopholis_guianense;7.47;4.53;3.48;1.18;1.76;0.97;1.65;2.01;2.43;5.2;7.95;8.87;27.67;5.81;3.69;59.51;2.75;5.38;3.7;10.98;15.73;35.14;Ground-dwelling;Forest;27.2;6.12;2384;57;23;-0.01790131;0.015963156;-0.000622021;0.081985778;-0.10677398;-0.111710095;-0.005884088;0.075846985;0.095089782;-0.011035874;-0.010168233;-0.014312862;0.00772274;0.08438213;0.010347545;-0.049393606;0.009146366;0.061741205;0.077928649;0.006829424;-0.073068273;-3.347759537;-2.136381465
